Title,Pub Year
MODULATION OF GLOMERULAR MESANGIAL CELL-GROWTH AND PROSTAGLANDIN RELEASE BY LYMPHOCYTE-T PRODUCTS,1991
IMMUNOMODULATING EFFECTS OF T-44,1991
IMMUNOMODULATING EFFECTS OF T-44 IN COMPARISON TO HWA-486,1991
IMMUNOSUPPRESSIVE SUBSTANCES FROM BLUE-GREEN-ALGAE,1991
ZYMOSAN INFLAMMATION - A NEW METHOD SUITABLE FOR EVALUATING NEW ANTIINFLAMMATORY DRUGS,1991
WOUND-HEALING USING HUMAN SKIN TRANSPLANTED ONTO ATHYMIC NUDE-MICE - A COMPARISON OF DRY AND MOIST WOUND-HEALING,1991
ATHEROGENICITY OF AUTOANTIBODIES AGAINST LOW-DENSITY-LIPOPROTEIN,1991
USE OF HUMAN ATHEROSCLEROTIC CELLS FOR OPTIMIZATION OF ANTIATHEROSCLEROTIC THERAPY,1991
PROLIFERATIVE AND SYNTHETIC ACTIVITY OF CELLS FROM REOCCLUDED DISTAL ANASTOMOSIS AND PHARMACOLOGICAL THERAPY OF THIS POSTOPERATIVE COMPLICATION,1991
CYTOFLUOROMETRIC ASSESSMENT OF PHAGOSOMAL OXIDATION AND THE MODE OF INHERITANCE IN PATIENTS SUFFERING FROM CHRONIC GRANULOMATOUS-DISEASE,1991
LIPOXYGENASE-INHIBITORY AZOMETHINES AND BENZOYLHYDRAZONES .1. INHIBITION OF THE LIPOXYGENASE ACTIVITY AND OF THE DEGRANULATION OF MAST-CELLS INVITRO BY PHENOLIC AZOMETHINES,1991
LIPOXYGENASE-INHIBITORY AZOMETHINES AND BENZOYLHYDRAZONES .2. EFFECTS OF PHENYLSUBSTITUTED AZOMETHINES ON THE ANTIGEN-INDUCED CONTRACTIONS OF GUINEA-PIG LUNG PARENCHYMAL STRIPS AND JEJUNUM SEGMENTS,1991
ALLERGEN-INDUCED BRONCHOSPASM IN PASSIVELY SENSITIZED GUINEA-PIGS - INFLUENCE OF NEW SUBSTANCES IN COMPARISON TO REFERENCE COMPOUNDS,1991
THE EFFECT OF FE2+ ASCORBATE INDUCED LIPID-PEROXIDATION ON THE BETA-ADRENOCEPTOR OF SARCOLEMMAL MEMBRANES,1991
PHENOMENOLOGICAL THEORY OF SWELLING IN STAINLESS-STEEL,1991
BEHAVIOR AND MICROSTRUCTURE OF STAINLESS-STEELS IRRADIATED IN THE FRENCH FAST BREEDER-REACTORS,1991
STUDY ON IRRADIATION EMBRITTLEMENT OF FERRITIC STEELS BY MEANS OF IMPACT TESTING WITH MINIATURIZED CHARPY V-NOTCH SPECIMENS,1991
PROPERTIES OF POINT-DEFECTS IN MODEL FERRITIC STEELS,1991
FORMATION OF COPPER-RICH PRECIPITATES BY ELECTRON-IRRADIATION OR BY THERMAL-TREATMENT IN MODEL IRON-BASED ALLOYS,1991
EVOLUTION OF THE MICROSTRUCTURE OF FERRITIC ALLOYS AFTER HIGH FLUENCE IRRADIATIONS,1991
PRIMARY KNOCK-ON ATOM ENERGY-DEPENDENCE OF RADIATION-DAMAGE,1991
NUMERICAL-SIMULATION OF CASCADES - NONLINEAR EFFECT OF ATOMIC DISPLACEMENTS AND CREATED DEFECTS,1991
DAMAGE PRODUCTION IN METALLIC CRYSTALLINE MATERIALS BY HIGH-ENERGY HEAVY-IONS,1991
MECHANISMS OF TRITIUM EXTRACTION FROM TRITIUM BREEDING CERAMICS,1991
"ELECTRON-IRRADIATION, ION-IRRADIATION AND NEUTRON-IRRADIATION DAMAGE IN CERAMICS",1991
ATOMIC DISPLACEMENT BY X-RAY-IRRADIATION OF BETA-ALUMINA AND RELATED-COMPOUNDS,1991
ELECTRON-RADIATION DAMAGE IN URANIUM MONONITRIDE,1991
THERMAL-SHOCK AND THERMAL FATIGUE PROPERTIES OF ENGINEERING CERAMICS,1991
HIGH-TC SUPERCONDUCTIVE 1212-LEAD CUPRATES - THE ISSUE OF REDOX EQUILIBRIA IN CONNECTION WITH SUPERCONDUCTIVITY,1991
SOLUTION TECHNIQUES FOR THE SYNTHESIS OF SUPERCONDUCTING OXIDES,1991
ELECTRICAL-PROPERTIES OF GRAIN-BOUNDARIES IN CERAMIC COMPONENTS FOR ELECTRONICS,1991
ULTRATHIN FILMS OF TIN OXIDE FOR GAS SENSOR,1991
"PRODUCTION, BY A SOL-GEL PROCESS, OF CERAMIC MATERIALS FOR REVERSIBLE CATHODES",1991
STRENGTHENING AND TOUGHENING MECHANISMS IN NANOCOMPOSITE CERAMICS,1991
INTERFACES AND MICROSTRUCTURES IN CERAMIC-CERAMIC COMPOSITES,1991
MORPHOLOGY OF GRAIN-BOUNDARY PHASES IN ALUMINUM NITRIDE CERAMICS WITH Y2O3 ADDITIVE,1991
CADMIUM COMPLEXATION IN SURFACE SEAWATER OF TERRA-NOVA BAY (ANTARCTICA),1991
INDIVIDUAL SPREAD OF CONCENTRATIONS OF ALKALI AND ALKALINE-EARTH ELEMENTS IN SEA-WATER SAMPLES FROM TERRA-NOVA BAY ROSS SEA (ANTARCTICA) .2.,1991
DETERMINATION OF SOME HEAVY-METALS IN SNOW AND SEAWATER AT TERRA-NOVA BAY (ANTARCTICA),1991
DETERMINATION OF SOME ORGANIC AND INORGANIC SUBSTANCES PRESENT AT PPB LEVEL IN ANTARCTIC SNOW AND ICE BY ION CHROMATOGRAPHY,1991
METAL TRACE DETERMINATION IN SEAWATER SAMPLES FROM ANTARCTICA .2.,1991
MERCURY AND SELENIUM IN ADAMUSSIUM-COLBECKI AND PAGOTHENIA-BERNACCHII FROM THE ROSS SEA (ANTARCTICA) COLLECTED DURING ITALIAN EXPEDITION 1988-89,1991
"TRACE-METALS IN SEDIMENTS FROM TERRA-NOVA BAY ROSS SEA, ANTARCTICA",1991
EVALUATION OF PACK MELTING EFFECT ON POLYCHLOROBIPHENYL CONTENT IN SEA-WATER SAMPLES FROM TERRA-NOVA BAY ROSS SEA (ANTARCTICA),1991
ORGANIC-COMPOUNDS IN SEA-WATER AND PACK ICE IN TERRA-NOVA BAY (ANTARCTICA),1991
ORGANIC-MATTER AND METALS IN LAKE-SEDIMENTS AT TERRA-NOVA BAY (ANTARCTICA),1991
CARBON OXIDES AND HYDROGEN IN ANTARCTIC ATMOSPHERE,1991
AIR-SEA EXCHANGE IN ANTARCTIC ENVIRONMENT AND SNOW MICROCOMPONENTS,1991
DIFFERENCES IN THE MULTIPLE-SCATTERING OF POSITRONS AND ELECTRONS,1991
NOTES ON ELECTRON PENETRATION,1991
COMPARISON OF MONTE-CARLO AND ANALYTICAL CALCULATIONS OF AVERAGE DOSE DEPOSITED IN ALUMINUM FOILS BY BROAD BEAMS OF ELECTRONS,1991
THE ROLE OF MONTE-CARLO SIMULATION OF ELECTRON-TRANSPORT IN RADIATION-DOSIMETRY,1991
DISSIPATIVE POLARIZATION BY SLOW-ELECTRONS,1991
SUBEXCITATION ELECTRONS - AN APPRAISAL OF OUR UNDERSTANDING,1991
TIME-DEPENDENT ELECTRON-DISTRIBUTION FUNCTIONS AND DEGRADATION SPECTRA - A COMPARISON OF THE SPENCER-FANO EQUATION AND THE BOLTZMANN-EQUATION,1991
RADIATION-DAMAGE TO A BIOMOLECULE - NEW PHYSICAL MODEL SUCCESSFULLY TRACES MOLECULAR EVENTS,1991
FISH MEAT FRESHNESS SENSING SYSTEM FOR INDUSTRIAL USE,1991
A MINIATURE CLARK-TYPE OXYGEN-ELECTRODE USING A POLYELECTROLYTE AND ITS APPLICATION AS A GLUCOSE SENSOR,1991
MODIFICATION OF GLASSY-CARBON ELECTRODE SURFACES WITH MEDIATORS AND BRIDGE MOLECULES,1991
DETECTION OF HUMAN-LEUKOCYTES BY CYCLIC VOLTAMMETRY AND ITS APPLICATION TO MONITORING OF ALLERGIC REACTION,1991
BIOSENSORS BASED ON SURFACE-PLASMONS EXCITED IN NONNOBLE METALS,1991
MINIATURIZED THIN-FILM BIOSENSORS USING COVALENTLY IMMOBILIZED GLUCOSE-OXIDASE,1991
DEVELOPMENT OF AN AMPEROMETRIC ALCOHOL SENSOR BASED ON IMMOBILIZED ALCOHOL-DEHYDROGENASE AND ENTRAPPED NAD+,1991
THE DEVELOPMENT OF A CATECHOL ENZYME ELECTRODE AND ITS POSSIBLE USE FOR THE DIAGNOSIS AND MONITORING OF NEURAL CREST TUMORS,1991
AN EVANESCENT FLUORESCENCE BIOSENSOR USING ION-EXCHANGED BURIED WAVE-GUIDES AND THE ENHANCEMENT OF PEAK FLUORESCENCE,1991
POTENTIOMETRIC SENSORS BASED ON HUMIC SUBSTANCES,1991
CATALYTIC HYDROGENOLYSIS ON METALS,1991
THE REACTIVITY OF METAL-SURFACES,1991
"ON THE SPECIFIC REACTIVITY OF PLATINUM SEGREGATED LAYERS ON PT80X20 (111) (X = NI, CO, FE) ALLOYS",1991
STRUCTURE AND FUNCTION AT CATALYST SURFACES,1991
HYDROGEN ADSORPTION ON CLEAN AND OXYGEN COVERED PT(111),1991
DOSE DETERMINATION OF NICKEL IMPLANTATIONS IN SILICON-WAFERS,1991
STUDIES OF GAAS SURFACE-ROUGHNESS AND ORGANIC MASKS RESISTANCE DEPENDING ON THE ION-BEAM ENERGY,1991
MEASUREMENT OF THE ELECTRIC-POTENTIAL IN SILICON SOLAR-CELLS EMPLOYING AN ELECTRON-BEAM TESTER,1991
CHARGE EFFECTS DURING SURFACE-ANALYSIS OF POORLY CONDUCTING INORGANIC MATERIALS,1991
ANALYSIS OF IONIC SOLIDS WITH SNMS,1991
"COMPARATIVE BULK, SURFACE AND DEPTH PROFILE ANALYSES ON AIN AND SIC-COATED B4C POWDERS",1991
NOVEL OPTICAL TECHNIQUES FOR THE ANALYSIS OF POLYMER SURFACES AND THIN-FILMS,1991
OBSERVATION OF SPECTRAL INTERFERENCES FOR THE DETERMINATION OF VOLUME AND SURFACE EFFECTS OF THIN-FILMS,1991
CEMS XPS STUDY OF IRON STEARATE LANGMUIR-BLODGETT LAYERS,1991
STOICHIOMETRIC AND STRUCTURAL-ANALYSES OF THIN HIGH-TC SUPERCONDUCTING BI-SR-CA-CU-O FILMS ON SILICON,1991
PHOTOEMISSION-STUDIES OF BAPB1-XBIXO3 AND BA1-YKYBIO3 CRYSTALS,1991
CHARACTERIZATION OF SPUTTER-DEPOSITED YBACUO FILMS BY X-RAY PHOTOELECTRON-SPECTROSCOPY,1991
INTERFACE ANALYSIS OF THE SYSTEM SI/YBA2CU3O7-X,1991
QUANTITATIVE ELECTRON-PROBE MICROANALYSIS FOR THE CHARACTERIZATION OF THIN CARBON-BORON LAYERS IN FUSION DEVICES,1991
ARXPS - STUDIES OF NUCLEATION AND MAKE-UP OF SPUTTERED TIN-LAYERS,1991
CHEMOMETRICS-AIDED RBS ANALYSIS OF THIN-FILMS,1991
STRUCTURE INVESTIGATIONS OF PURE AND PARTIALLY OXIDIZED COPPER-FILMS,1991
STRUCTURE AND STABILITY OF SILANE MODIFIED METAL-SURFACES,1991
IMPROVED ADHESION OF COPPER ON AL2O3,1991
ANALYSIS OF MAGNETOOPTICAL LAYERS BY ION-SCATTERING SPECTROMETRY,1991
AES INVESTIGATION OF THERMALLY SPRAYED AL2O3 COATINGS ON STEEL,1991
"CRYSTAL-STRUCTURE, MORPHOLOGY AND COMPOSITION OF MAGNETRON SPUTTERED TUNGSTEN CARBIDE FILMS",1991
DETERMINATION OF ENERGY AND MASS DISTRIBUTIONS OF IONS AND NEUTRAL PARTICLES IN MAGNETRON-IONPLATING,1991
IMPLANTATION ASSISTED DEPOSITION OF HARD CARBON COATINGS ON STEEL SUBSTRATES,1991
GROWTH OF TIC FILMS BY PULSED LASER EVAPORATION (PLE) AND CHARACTERIZATION BY XPS AND AES,1991
ANALYSIS OF TI-N FILMS BY CALIBRATION OF TI X-RAY-SPECTRA,1991
ATOMISTIC STRUCTURE OF INTERNAL INTERFACES BY HIGH-RESOLUTION ELECTRON-MICROSCOPY,1991
INTERFACIAL ANALYSES FOR ELUCIDATION OF THE INTERGRANULAR DISINTEGRATION UPON OXIDATION OF INTERMETALLIC PHASES,1991
THE INFLUENCE OF ENVIRONMENTAL OXYGEN ON THE SURFACE-COMPOSITION OF BINARY SUBSTITUTIONAL ALLOYS,1991
"XPS AND TEM CHARACTERIZATION OF PURE AND TH, PR OR CE OXIDE CONTAINING RH/SIO2 CATALYSTS",1991
ON THE HYDROGENATION OF CO AND CO2 OVER COPPER ZIRCONIA AND PALLADIUM ZIRCONIA CATALYSTS,1991
INVESTIGATION ON THE INFLUENCE OF SULFUR SEGREGATION ON THE ADHERENCE OF PROTECTIVE OXIDE LAYERS ON HIGH-TEMPERATURE MATERIALS,1991
ADSORPTION OF SIMPLE S-ORGANIC COMPOUNDS ON IRON SURFACES PREPARED IN AN UHV-SYSTEM,1991
SURFACE-REACTION KINETICS AS A PROBE FOR STUDYING CARBON-INDUCED SURFACE STRUCTURAL-CHANGES ON NICKEL AND NI-CR ALLOYS,1991
XPS STUDIES OF AMINO-ACIDS ADSORBED ON TITANIUM-DIOXIDE SURFACES,1991
"INTERFACE-REACTIONS OF PT/TIO2 - COMPARATIVE ELECTRICAL, XPS-DEPTH, AND AES-DEPTH PROFILE INVESTIGATIONS",1991
INTEGRATING METHODS FOR THE ANALYSIS OF OXIDE SCALES ON HIGH-TEMPERATURE ALLOYS USING GDOS AND EPMA,1991
INVESTIGATION OF OXIDE-FILMS ON FERRITIC STAINLESS-STEEL,1991
THE EFFECT OF IMPLANTED YTTRIUM ON THE OXIDATION BEHAVIOR AT HIGH-TEMPERATURES OF A FE-CR-AL ALLOY CONTAINING ZIRCONIUM,1991
APPLICATION OF A FAST X-RAY-DIFFRACTION METHOD FOR STUDIES OF HIGH-TEMPERATURE CORROSION OF STEEL SURFACES,1991
"ELECTRON SPECTROSCOPIC INVESTIGATION (AES/SAM, XPS) OF ELECTROPLATED AG LAYERS ON LED-CUSN-LEAD FRAMES - COMBINED PHENOMENA OF SEGREGATION AND CORROSION",1991
"APPLICATION OF THE ANALYTICAL METHODS REM EDX, AES AND SNMS TO A CHLORINE INDUCED ALUMINUM CORROSION",1991
ESTIMATION OF EXPOSURE LEVELS BY MEASUREMENTS AND MODELS,1991
EFFECT OF EXCESS SODIUM ON THE EXCITATION OF POTASSIUM IN AN AIR-ACETYLENE FLAME - A STEADY-STATE KINETIC-MODEL WHICH TAKES INTO ACCOUNT COLLISIONAL EXCITATION,1991
POLYORGS AS COMPLEXING SORBENTS FOR PRECONCENTRATION OF TRACE-METALS,1991
POTENTIOMETRIC DETERMINATION OF MERCURY(II) AND THIOUREA IN STRONG ACID-SOLUTION USING AN ION-SELECTIVE ELECTRODE WITH AGI-BASED MEMBRANE HYDROPHOBIZED BY PTFE,1991
DETERMINATION OF DEPTH-PROFILES IN SURFACE-LAYERS OF SOLIDS BY ANGULAR RESOLVED X-RAY PHOTOELECTRON-SPECTROSCOPY,1991
ELECTRON-PROBE X-RAY-MICROANALYSIS AS A NONDESTRUCTIVE METHOD FOR THE QUANTITATIVE-DETERMINATION OF ION-IMPLANTED IMPURITIES IN SILICON,1991
INFLUENCE OF ELEMENTAL SULFUR AND MERCAPTANS ON CORROSION OF COPPER STRIPS IN THE ASTM D-130 TEST BY MEANS OF ELECTRONIC MICROSCOPY (SEM) AND ENERGY DISPERSIVE-X-RAY (EDX),1991
STUDY OF THE PROVENANCE OF TERRA-SIGILLATA BY MOSSBAUER-SPECTROSCOPY,1991
GALLO-ROMAN WHITE CLAY FIGURINE ANALYSIS FOR PROVENANCE CHARACTERIZATION,1991
APPLICATION OF SECONDARY ION MASS-SPECTROMETRY (SIMS) FOR THE ANALYSIS OF ASBESTOS FIBERS,1991
SAMPLING AND ANALYSIS OF RAIN - METHODS AND RESULTS OF THE VENICE REGIONAL NETWORK,1991
DIFFERENT STRATEGIES TO ASSESS CU AND PB MOBILIZATION IN POLLUTED RIVER SEDIMENTS,1991
DETERMINATION OF STRONTIUM RADIOISOTOPES IN SOILS,1991
SPECTROFLUORIMETRIC DETERMINATION OF CLIOQUINOL IN PHARMACEUTICAL PREPARATIONS,1991
A NOVEL METHOD FOR TERPENE PATTERN DETERMINATION OF ESSENTIAL OILS BY SELECTIVITY TUNING IN GC,1991
SIMULTANEOUS INVIVO MONITORING OF DOPAMINE AND SEROTONIN BY DIFFERENTIAL PULSE CONDITIONING VOLTAMMETRY WITH NA-CRO MICROBIOSENSORS,1991
EVALUATION OF 2-DIMENSIONAL ELECTROPHEROGRAMS OF PROTEINS FROM THE SPLEEN-CELLS INDUCED BY EXPERIMENTAL-INFECTION USING THE 2D-ANALYST-II SOFTWARE,1991
"TANDEM MASS-SPECTROMETRIC STUDIES OF MERCAPTURIC ACID-DERIVATIVES - FRAGMENTATION, STRUCTURE ELUCIDATION OF FRAGMENT IONS AND DEVELOPMENT OF AN ANALYTICAL METHOD",1991
ISOLATION AND DETERMINATION OF VOLATILE ORGANIC SULFUR-COMPOUNDS IN AQUEOUS-SOLUTIONS,1991
APPLICATIONS OF LASER-RAMAN SPECTROSCOPY TO THE ANALYSIS OF POLYNUCLEOTIDES CONTAINING URIDINE RESIDUES,1991
SPECTROPHOTOMETRIC DETERMINATION OF LEAD IN ENVIRONMENTAL OBJECTS WITH THE NEW HIGHLY EFFECTIVE REAGENT HOCAC,1991
MODIFICATION OF AMAYA-SUGIURA PASSIVE SAMPLING SPECTROPHOTOMETRIC METHOD OF NITROGEN-DIOXIDE DETERMINATION IN AMBIENT AIR,1991
MICROANALYTICAL DETERMINATION OF METALLIC CONSTITUENTS OF RIVER SEDIMENTS,1991
"ANALYSIS AND SOME CHEMICAL-PROPERTIES OF MX (3-CHLORO-4-(DICHLOROMETHYL)-5-HYDROXY-2(5H)-FURANONE), THE POTENT DRINKING-WATER MUTAGEN",1991
ANALYTICAL QUALITY-CONTROL BY SOLID SAMPLING GFAAS IN THE PRODUCTION OF ANIMAL TISSUE REFERENCE MATERIALS - LEAD AND CADMIUM IN BOVINE LIVER REFERENCE MATERIALS,1991
LEAD AND CADMIUM IN BERRIES AND VEGETABLES ON THE FINNISH MARKET 1987-1989,1991
QUANTITATION OF CAMPHECHLOR TOXAPHENE IN COD-LIVER OIL BY INTEGRATION OF THE HRGC ECD-PATTERN,1991
FLOW-INJECTION DETERMINATION OF HMF IN HONEY BY THE WINKLER METHOD,1991
"ASSAY OF REDUCING SUGARS IN BEVERAGES, WINES, HONEY AND MARMALADES USING POTENTIOMETRIC STRIPPING ANALYSIS (PSA)",1991
SIMULTANEOUS DETERMINATION OF IODINE AND SELENIUM IN BIOLOGICAL SAMPLES BY RADIOCHEMICAL NEUTRON-ACTIVATION ANALYSIS,1991
"DETERMINATION OF NICKEL IN BIOLOGICAL SAMPLES BY INDUCTIVELY COUPLED PLASMA SPECTROMETRY AFTER EXTRACTION WITH 1,5-BIS(DI-2-PYRIDYLMETHYLENE)THIOCARBONOHYDRAZIDE",1991
CHEMICAL MODIFIERS IN THE DETERMINATION OF MOLYBDENUM IN HUMAN SERUM BY ELECTROTHERMAL ATOMIC-ABSORPTION SPECTROMETRY,1991
MICROANALYTICAL CONCEPT FOR MULTICOMPONENT ANALYSIS OF AIRBORNE PARTICULATE MATTER,1991
CHEMICAL CHARACTERIZATION OF INDIVIDUAL ATMOSPHERIC AEROSOL-PARTICLES - ANALYSIS BY SPOT-TEST AND SCANNING ELECTRON-MICROSCOPY,1991
ELEMENTAL CARBON IN THE ATMOSPHERE - CHALLENGES FOR THE TRACE ANALYST,1991
PRINCIPLE AND APPLICATION OF A FAST SENSOR FOR ATMOSPHERIC OZONE,1991
THE DEVELOPMENT OF ANALYTICAL METHODS FOR THE DETERMINATION OF IONS AND ACIDITY IN INDIVIDUAL RAINDROPS,1991
DETERMINATION OF FREE AND TOTAL ACIDITY IN SMALL VOLUMES - DEVELOPMENT OF A FIA-GRADIENT MIXING TECHNIQUE,1991
DETERMINATION OF FATTY-ACIDS IN ATMOSPHERIC SAMPLES VIA GC MS,1991
ANALYSIS OF ATMOSPHERIC PARTICULAR MATTER AND WATER USING ATOMIC EMISSION-SPECTROMETRY WITH INDUCTIVELY-COUPLED PLASMA AND 2-JET PLASMATRON,1991
PROBLEMS WITH THE DETERMINATION OF HEAVY-METALS IN PRECIPITATION,1991
"TRANSITION-METALS IN ATMOSPHERIC AQUEOUS SAMPLES, ANALYTICAL DETERMINATION AND SPECIATION",1991
MODELING OF IONIC CONCENTRATIONS AND SULFATE PRODUCTION IN CLOUD DROPLETS - USE OF PUBLISHED AEROSOL DATA,1991
KINETIC INVESTIGATION OF SULFUR(IV) OXIDATION BY PEROXO COMPOUNDS R-OOH IN AQUEOUS-SOLUTION,1991
OXIDATION OF SO2 TO SULFATE IN SEA SALT AEROSOLS,1991
LABORATORY-SCALE NO2 OXIDATION ON PARTICLES OF STACK FLY-ASH,1991
CHEMISTRY AND CONCENTRATION LEVELS OF FREE-RADICALS IN THE STRATOSPHERE,1991
"SPECTROSCOPIC MEASUREMENT OF FREE-RADICALS (OH, NO3) IN THE ATMOSPHERE",1991
A LASER-SPECTROMETRIC STUDY OF THE NO3 RADICAL IN THE AQUEOUS PHASE,1991
ANALYSIS OF REACTION-PRODUCTS IN THE OXIDATION REACTIONS OF HYDROCARBONS BY MEANS OF MATRIX-ISOLATION FTIR SPECTROSCOPY,1991
"SIMULTANEOUS DETERMINATION OF NH3, SO2, NO AND NO2 BY DIRECT UV-ABSORPTION IN AMBIENT AIR",1991
REMOTE MEASUREMENTS OF OZONE CONCENTRATION AND AEROSOLS IN THE ARCTIC STRATOSPHERE,1991
FAST SCANNING LASER DOAS - A VERY PROMISING TECHNIQUE FOR MONITORING OH AND OTHER TROPOSPHERIC TRACE GASES,1991
A WHITE CELL TYPE MULTIPLE REFLECTION SYSTEM FOR TROPOSPHERIC RESEARCH,1991
AUTOMATED TRACE ANALYSIS OF AIRBORNE C1-HALOCARBONS AND C2-HALOCARBONS,1991
APPLICATION OF MODERN THIN-LAYER CHROMATOGRAPHIC TECHNIQUES FOR CONFIRMATION OF RESULTS IN PESTICIDE MULTI-RESIDUE ANALYSIS,1991
DETERMINATION OF METHYL CARBAMATE RESIDUES USING ONLINE COUPLING OF HPLC WITH A POST COLUMN FLUOROMETRIC LABELING TECHNIQUE,1991
MULTI-RESIDUE-ANALYSIS OF PESTICIDES BY HPLC AFTER SOLID-PHASE EXTRACTION,1991
SEALED LEAD-ACID-BATTERY FOR MOTORCYCLE USE,1991
HIGH GELLED-ELECTROLYTE QUALITY WITH POLYACRYLAMIDE POLYMER - LIMITATION OF CYCLE-LIFE THROUGH WATER-LOSS,1991
MAINTENANCE-FREE MOTIVE-POWER CELLS USING GAS-RECOMBINATION TECHNOLOGY,1991
"LOW-MAINTENANCE, VALVE-REGULATED, LEAD-ACID-BATTERIES IN UTILITY APPLICATIONS",1991
PURE LEAD AND THE TIN EFFECT IN DEEP-CYCLING LEAD-ACID-BATTERY APPLICATIONS,1991
VARIABLES AFFECTING THE DEEP-CYCLING CHARACTERISTICS OF EXPANDED-GRID LEAD-ACID-BATTERY PLATES,1991
INFLUENCE OF PHOSPHORIC-ACID ON BOTH THE ELECTROCHEMISTRY AND THE OPERATING BEHAVIOR OF THE LEAD ACID SYSTEM,1991
EFFECT OF DOPANTS (GROUP VA) ON THE PERFORMANCE OF THE POSITIVE LEAD-ACID-BATTERY PLATE,1991
REVERSIBLE CAPACITY DECAY OF POSITIVE ELECTRODES IN LEAD ACID CELLS,1991
"AUTOMOTIVE BATTERY ENERGY DENSITY - PAST, PRESENT AND FUTURE",1991
FAILURE MECHANISMS OF LEAD ACID AUTOMOTIVE BATTERIES IN SERVICE IN THE USA,1991
TEMPERATURE-CONTROLLED FORMATION,1991
PROCESSING OF WASTES FROM LEAD-ACID-BATTERY PRODUCTION,1991
"DEMANDS ON AUTOMOTIVE BATTERY PERFORMANCE, WHAT IS THE BEST ALLOY",1991
